TripCode,Latitude,Longitude,SampleTime_Local,StationName,StationCode,SST,chl_gsm,chl_oc3,GSLA,WaterDepth_m
SOTS_RAS_SOFS10_2021_20220415,-46.9858333,142.2836111,2022-04-15T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.132373162,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20100921,-46.9347333,142.2566,2010-09-21T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.149530754,0.09595523,0.061752416,NA,NA
SOTS_RAS_PULSE_11_2015_20151210,-46.9405,142.3261,2015-12-10T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.153780692,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101202,-46.9347333,142.2566,2010-12-02T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.189877421,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150529,-46.9405,142.3261,2015-05-29T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.190189321,NA,NA,NA,NA
SOTS_IN2022_V03_CTD5_5,-47.0571,141.38225,2022-05-08T04:10:00Z,Southern Ocean Timeseries Mooring,SOTS,9.205055058,NA,NA,NA,NA
SOTS_IN2022_V03_CTD5_25,-47.0571,141.38225,2022-05-08T04:09:00Z,Southern Ocean Timeseries Mooring,SOTS,9.205055058,NA,NA,NA,NA
SOTS_IN2022_V03_CTD5_50,-47.0571,141.38225,2022-05-08T04:06:00Z,Southern Ocean Timeseries Mooring,SOTS,9.205055058,NA,NA,NA,NA
SOTS_IN2022_V03_CTD5_115,-47.0571,141.38225,2022-05-08T03:58:00Z,Southern Ocean Timeseries Mooring,SOTS,9.205055058,NA,NA,NA,NA
SOTS_IN2022_V03_CTD5_2000,-47.0571,141.38225,2022-05-08T02:54:00Z,Southern Ocean Timeseries Mooring,SOTS,9.205055058,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210522,-46.9858333,142.2836111,2021-05-22T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.230845588,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20110212,-46.9347333,142.2566,2011-02-12T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.24787912,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20110320,-46.9347333,142.2566,2011-03-20T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.252451888,NA,NA,NA,NA
SOTS_IN2019_V03_CTD_50.7,-34.6728,113.3268,2019-05-15T11:05:00Z,Southern Ocean Timeseries Mooring,SOTS,9.269563157,NA,NA,NA,NA
SOTS_IN2021_V02_CTD2_5,-46.98623,141.8896,2021-04-17T03:08:00Z,Southern Ocean Timeseries Mooring,SOTS,9.279975701,NA,NA,NA,NA
SOTS_IN2021_V02_CTD2_25,-46.98623,141.8896,2021-04-17T03:05:00Z,Southern Ocean Timeseries Mooring,SOTS,9.279975701,NA,NA,NA,NA
SOTS_IN2021_V02_CTD2_50,-46.98623,141.8896,2021-04-17T03:02:00Z,Southern Ocean Timeseries Mooring,SOTS,9.279975701,NA,NA,NA,NA
SOTS_IN2021_V02_CTD2_125,-46.98623,141.8896,2021-04-17T02:55:00Z,Southern Ocean Timeseries Mooring,SOTS,9.279975701,NA,NA,NA,NA
SOTS_IN2019_V02_CTD18_10.4,-47.0227,142.2334,2019-03-28T12:04:00Z,Southern Ocean Timeseries Mooring,SOTS,9.320492071,NA,NA,NA,NA
SOTS_IN2019_V02_CTD17_10.9,-47.0227,142.2334,2019-03-28T01:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.320492071,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150514,-46.9405,142.3261,2015-05-14T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.340032479,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150911,-46.9405,142.3261,2015-09-11T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.361275744,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20100930,-46.9347333,142.2566,2010-09-30T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.376284443,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210506,-46.9858333,142.2836111,2021-05-06T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.423904522,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230630,-47.16952,141.25615,2023-06-30T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.428120332,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231110,-47.16952,141.25615,2023-11-10T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.45359324,0.390378505,0.358657211,NA,NA
SOTS_RAS_PULSE_8_2011_20111104,-46.92955,142.2146667,2011-11-04T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.459691363,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231208,-47.16952,141.25615,2023-12-08T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.47837841,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210530,-46.9858333,142.2836111,2021-05-30T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.491900755,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130922,-46.9378,142.28465,2013-09-22T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.503383382,0.257758468,0.220693886,NA,NA
SOTS_RAS_PULSE_7_2010_20110407,-46.9347333,142.2566,2011-04-07T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.50763328,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120118,-46.92955,142.2146667,2012-01-18T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.556538813,0.477873206,0.349115014,NA,NA
SOTS_IN2019_V02_CTD12_11.7,-47.0227,142.2334,2019-03-20T03:50:00Z,Southern Ocean Timeseries Mooring,SOTS,9.557921296,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230714,-47.16952,141.25615,2023-07-14T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.566504,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210818,-46.9858333,142.2836111,2021-08-18T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.591566876,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101211,-46.9347333,142.2566,2010-12-11T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.634522908,0.277131528,0.253082871,NA,NA
SOTS_RAS_PULSE_7_2010_20110203,-46.9347333,142.2566,2011-02-03T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.635628332,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230721,-47.16952,141.25615,2023-07-21T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.67281268,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231229,-47.16952,141.25615,2023-12-29T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.695814917,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230519,-47.16952,141.25615,2023-05-19T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.717192481,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210607,-46.9858333,142.2836111,2021-06-07T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.720759567,NA,NA,NA,NA
SOTS20120717,-46.93473,142.25826,2012-07-17T16:30:00Z,Southern Ocean Timeseries Mooring,SOTS,9.750531197,0.544277787,0.226898283,NA,NA
SOTS_RAS_PULSE_8_2011_20120402,-46.92955,142.2146667,2012-04-02T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.774496014,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230804,-47.16952,141.25615,2023-08-04T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.796987608,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101027,-46.9347333,142.2566,2010-10-27T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.815957787,0.278789997,0.253857046,NA,NA
SOTS_RAS_PULSE_11_2015_20150414,-46.9405,142.3261,2015-04-14T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.838134356,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150827,-46.9405,142.3261,2015-08-27T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.852268178,NA,NA,NA,NA
SOTS_IN2019_V02_CTD2_5.3,-47.0227,142.2334,2019-03-16T13:30:00Z,Southern Ocean Timeseries Mooring,SOTS,9.867065566,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20110302,-46.9347333,142.2566,2011-03-02T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.869760834,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220125,-46.9858333,142.2836111,2022-01-25T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.915769197,0.251296192,0.206035987,NA,NA
SOTS_RAS_SOFS10_2021_20220306,-46.9858333,142.2836111,2022-03-06T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.91761121,0.139599383,0.127884492,NA,NA
SOTS_RAS_SOFS10_2021_20220218,-46.9858333,142.2836111,2022-02-18T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.93365383,0.274888903,0.161958665,NA,NA
SOTS_RAS_SOFS10_2021_20210615,-46.9858333,142.2836111,2021-06-15T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.935804606,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230623,-47.16952,141.25615,2023-06-23T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.959870791,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120517,-46.92955,142.2146667,2012-05-17T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.964607746,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230707,-47.16952,141.25615,2023-07-07T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.979597263,0.185251445,0.281149745,NA,NA
SOTS_RAS_PULSE_8_2011_20120202,-46.92955,142.2146667,2012-02-02T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,9.991944058,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230728,-47.16952,141.25615,2023-07-28T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.06851451,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150926,-46.9405,142.3261,2015-09-26T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.06998788,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230922,-47.16952,141.25615,2023-09-22T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.12649194,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210810,-46.9858333,142.2836111,2021-08-10T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.1671322,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20211029,-46.9858333,142.2836111,2021-10-29T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.17928786,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120601,-46.92955,142.2146667,2012-06-01T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.19295547,0.103515185,0.13788189,NA,NA
SOTS_RAS_PULSE_7_2010_20101018,-46.9347333,142.2566,2010-10-18T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.19545969,NA,NA,NA,NA
SOTS_IN2019_V02_CTD8_7.9,-47.0227,142.2334,2019-03-19T11:59:00Z,Southern Ocean Timeseries Mooring,SOTS,10.19639537,NA,NA,NA,NA
SOTS_IN2019_V02_CTD7_7.9,-47.0227,142.2334,2019-03-19T01:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.19639537,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130624,-46.9378,142.28465,2013-06-24T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.21835277,0.169285879,0.179715604,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230811,-47.16952,141.25615,2023-08-11T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.23003246,NA,NA,NA,NA
MAI20111005,-42.59667,148.23333,2011-10-05T12:24:00Z,Maria Island,MAI,10.32906183,NA,NA,0.018142895,-88
SOTS_RAS_SOFS10_2021_20210623,-46.9858333,142.2836111,2021-06-23T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.35935618,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130510,-46.9378,142.28465,2013-05-10T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.39215341,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231222,-47.16952,141.25615,2023-12-22T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.39762765,0.108895846,0.28976658,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231006,-47.16952,141.25615,2023-10-06T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.39840219,0.125171348,0.130292594,NA,NA
SOTS_RAS_PULSE_11_2015_20150429,-46.9405,142.3261,2015-04-29T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.39840219,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120616,-46.92955,142.2146667,2012-06-16T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.39840219,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130525,-46.9378,142.28465,2013-05-25T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.4167402,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20110821,-46.92955,142.2146667,2011-08-21T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.49585703,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101123,-46.9347333,142.2566,2010-11-23T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.50880636,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130609,-46.9378,142.28465,2013-06-09T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.52598353,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220101,-46.9858333,142.2836111,2022-01-01T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.53289751,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220226,-46.9858333,142.2836111,2022-02-26T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.54963814,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120217,-46.92955,142.2146667,2012-02-17T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.55331797,0.182139039,0.184532627,NA,NA
SOTS_RAS_SOFS9_2020_20200906,-46.98476,141.81169,2020-09-06T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.55943061,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20111204,-46.92955,142.2146667,2011-12-04T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.59087607,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150728,-46.9405,142.3261,2015-07-28T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.59200081,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220314,-46.9858333,142.2836111,2022-03-14T07:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.62016002,0.208454013,0.143610895,NA,NA
SOTS_RAS_PULSE_7_2010_20110125,-46.9347333,142.2566,2011-01-25T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.66470711,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20100912,-46.9347333,142.2566,2010-09-12T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.70817514,NA,NA,NA,NA
SOTS_IN2023_V03_CTD4_40,-46.96493,141.35117,2023-05-19T08:39:00Z,Southern Ocean Timeseries Mooring,SOTS,10.76418769,NA,NA,NA,NA
SOTS_IN2023_V03_CTD4_150,-46.96493,141.35117,2023-05-19T08:39:00Z,Southern Ocean Timeseries Mooring,SOTS,10.76418769,NA,NA,NA,NA
SOTS_IN2023_V03_CTD4_10,-46.96493,141.35117,2023-05-19T08:39:00Z,Southern Ocean Timeseries Mooring,SOTS,10.76418769,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231215,-47.16952,141.25615,2023-12-15T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.78518868,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101105,-46.9347333,142.2566,2010-11-05T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.79097666,NA,NA,NA,NA
SOTS_RAS_PULSE_7_2010_20101229,-46.9347333,142.2566,2010-12-29T03:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.79773942,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230616,-47.16952,141.25615,2023-06-16T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.8348304,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20111119,-46.92955,142.2146667,2011-11-19T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.89141916,NA,NA,NA,NA
SOTS20120718,-46.93473,142.25826,2012-07-18T13:30:00Z,Southern Ocean Timeseries Mooring,SOTS,10.92320076,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20211021,-46.9858333,142.2836111,2021-10-21T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,10.99059272,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220330,-46.9858333,142.2836111,2022-03-30T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.03935812,0.358923525,0.249084696,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231124,-47.16952,141.25615,2023-11-24T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.04055552,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20110905,-46.92955,142.2146667,2011-09-05T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.09158041,NA,NA,NA,NA
