TAXON_NAME,STARTDATE,PARENT_NAME,TRAINING,COMMENTS
Calocalanus cf. styliremis f,2008-09-29,Calocalanus spp. f,,Not routinely counted; normally counted as Calocalanus spp.
Tortanus gracilis m,2008-09-29,,,
Pontella novaezealandiae f,2008-09-29,,,
Pseudodiaptomus baylyi f,2008-09-29,,,
Metacalanus aurivillii f,2008-09-29,,,
Clausocalanus arcuicornis f,2008-09-29,,Internal training Frost & Fleminger,
Clausocalanus arcuicornis m,2008-09-29,,Internal training Frost & Fleminger,Clausocalanus males not routinely speciated
Clausocalanus furcatus f,2008-09-29,,Internal training Frost & Fleminger,
Clausocalanus furcatus m,2008-09-29,,Internal training Frost & Fleminger,Clausocalanus males not routinely speciated
Clausocalanus spp. j,2008-09-29,,Internal training Frost & Fleminger,
Clausocalanus spp. m,2008-09-29,,Internal training Frost & Fleminger,Clausocalanus males not routinely speciated
Clytemnestra scutellata f,2008-09-29,,,
Agetus limbatus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Centropages spp.,2008-09-29,,,
Eucalanidae m,2008-09-29,,,
Ditrichocorycaeus spp. m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula spp.,2008-09-29,Corycaeus spp.,Internal training Dahl & Tanaka,
Thalia democratica,2008-09-29,,,
Onychocorycaeus spp. f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Lucifer typus f,2010-06-17,Lucifer spp.,Internal training,Not routinely identified
Pontellina plumata m,2008-09-29,,,
Farranula spp. j,2008-09-29,Corycaeus spp.,Internal training Dahl & Tanaka,
Labidocera minuta m,2008-09-29,,,
Euterpina acutifrons,2008-09-29,,,
Tortanus spp. j,2008-09-29,,,
Platyhelminthes j,2008-09-29,,,
Facetotecta cyprid,2010-08-02,,,
Tortanus spp. m,2008-09-29,,,
Acrocalanus gibber,2008-09-29,,,
Pseudodiaptomus cornutus f,2008-09-29,,,
Undinula vulgaris CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Calanopia spp. f,2008-09-29,,,
Palaemonidae,2008-09-29,,,
Farranula gracilis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Subeucalanus crassus m,2008-09-29,,,
Flaccisagitta spp.,2010-09-30,Chaetognatha,External training Mark Gibbons,
Paracalanus parvus m,2008-09-29,,,
Ditrichocorycaeus erythraeus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Harpacticoid f,2008-09-29,,,
Aetideus spp. m,2008-09-29,,,
Lucicutia flavicornis,2008-09-29,,,
Pleuromamma piseki f,2008-09-29,,,
Pleuromamma piseki m,2008-09-29,,,
Hemicyclops spp. j,2008-09-29,,,
Aetideus acutus m,2008-09-29,,,
Calanoides patagoniensis f,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Metridia lucens m,2008-09-29,,,
Neocalanus tonsus m,2008-09-29,,,
Evadne spp.,2008-09-29,,,
Penilia avirostris f gravid,2010-03-24,Penilia avirostris,Internal training,
Scolecithrix spp. f,2008-09-29,,,
Onychocorycaeus latus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pseudodiaptomus mertoni f,2008-09-29,,,
Onychocorycaeus agilis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Subeucalanus monachus m,2008-09-29,,,
Farranula curta f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Clausocalanus mastigophorus f,2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Tortanus barbatus f,2008-09-29,,,
Agetus typicus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Sapphirina spp. f,2008-09-29,,,
Sapphirina spp. m,2008-09-29,,,
Candacia spp. f,2008-09-29,,,
Candacia spp. m,2008-09-29,,,
Temora turbinata,2008-09-29,,,
Corycaeus clausi f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus clausi m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus limbatus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pleuromamma spp.,2008-09-29,,,
Lucifer spp. m,2010-06-17,Lucifer spp.,Internal training,
Ditrichocorycaeus spp. f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pterotracheoidea - atlantid,2008-09-29,,,
Centropages calaninus m,2008-09-29,,,
Pseudodiaptomus j,2008-09-29,,,
Pseudodiaptomus aurivillii f,2008-09-29,,,
Centropages elegans f,2008-09-29,,,
Undinula vulgaris CIII,2008-09-29,,,Not routinely counted; normally counted as Calanid CIII
Euchaeta acuta f,2008-09-29,,,
Oncaea venusta venella f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Scolecithrix spp. j,2008-09-29,,,
Oncaea paraclevei f,2010-09-23,Oncaea clevei complex f,External training Ruth Bottger Schnack,
Hemicyclops spp.,2008-09-29,,,
Facetotecta nauplii,2010-11-05,,,
Subeucalanus subtenuis m,2008-09-29,,,
Labidocera tasmanica m,2008-09-29,,,
Centropages spp. f,2008-09-29,,,
Urocorycaeus furcifer f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus erythraeus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula gibbula f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus agilis m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Farranula concinna f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus dahli f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Sapphirina scarlata m,2008-09-29,,,
Pleuromamma abdominalis f,2008-09-29,,,
Pleuromamma abdominalis m,2008-09-29,,,
Euchirella rostrata m,2008-09-29,,,
Labidocera acuta m,2008-09-29,,,
Labidocera cervi f,2008-09-29,,,
Labidocera pavo f,2008-09-29,,,
Pontellopsis krameri m,2008-09-29,,,
Pseudodiaptomus mertoni m,2008-09-29,,,
Agetus flaccus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Podon intermedius,2010-03-24,Podon spp.,Internal training,
Centropages spp. m,2008-09-29,,,
Pontellina plumata f,2008-09-29,,,
Ditrichocorycaeus aucklandicus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pareucalanus langae m,2008-09-29,,,
Ditrichocorycaeus aucklandicus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Paracalanus parvus f,2008-09-29,,,
Sergestid protozoea,2008-09-29,,,
Onychocorycaeus pacificus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus anglicus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Flaccisagitta enflata,2010-09-23,Chaetognatha,External training Mark Gibbons,
Oithona simplex f,2011-07-08,Oithona Grp4 (round head) f,External training Dave McKinnon,
Lensia subtilis,2010-09-14,Siphonophore,External training Mark Gibbons,
Dioithona rigida f,2011-07-08,Oithona Grp5 (orange furcae) f,External training Dave McKinnon,
Aglaura hemistoma,2011-07-01,Medusa,External training Mark Gibbons,Not routinely identified
Urocorycaeus lautus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Oithona attenuata typical f,2011-07-08,Oithona Grp2 (diamond) f,External training Dave McKinnon,
Subeucalanus subcrassus m,2008-09-29,,,
Onychocorycaeus pumilus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Macrosetella gracilis j,2008-09-29,,,
Calanoides spp. CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV; Australian species currently being reviewed by Janet Bradford-Greive 
Calanoides spp. j,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Clytemnestra farrani f,2008-09-29,,,
Neocalanus spp.,2008-09-29,,,
Copilia hendorffi m,2008-09-29,,,
Clausocalanus laticeps f,2008-09-29,Clausocalanus spp. f,Internal training Frost & Fleminger,
Euchirella rostromagna f,2008-09-29,,,
Thaliacean,2008-09-29,,,
Agetus spp. m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Subeucalanus longiceps f,2008-09-29,,,
Subeucalanus longiceps m,2008-09-29,,,
Pleuromamma abdominalis j,2008-09-29,,,
