TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
ABFR20180811,Great Australian Bight,Fremantle,Great Australian Bight,-35.46785,116.43404,2018-08-11 02:58:43,-34.25583,124.58763,2018-08-12 02:46:30,415,Tonsberg,Wallenius Wilhelmsen
ABHO20130415,Great Australian Bight,Hobart,Great Australian Bight,-42.93111,131.04198,2013-04-15 04:02:21,-34.07261,144.83315,2013-04-21 02:16:55,720,Southern Surveyor,CSIRO
ADAB20140120,Adelaide,Great Australian Bight,Great Australian Bight,-35.41718,128.58354,2014-01-20 04:44:30,-35.02782,138.15625,2014-01-21 07:56:14,485,ANL Whyalla,ANL
ADAB20140331,Adelaide,Great Australian Bight,Great Australian Bight,-35.42663,126.84563,2014-03-31 05:55:36,-35.33058,136.11902,2014-04-01 08:00:04,460,ANL Whyalla,ANL
ADAB20140610,Adelaide,Great Australian Bight,Great Australian Bight,-35.46464,128.94671,2014-06-10 04:29:12,-35.24452,137.93905,2014-06-11 07:46:26,450,ANL Whyalla,ANL
ADAB20140921,Adelaide,Great Australian Bight,Great Australian Bight,-35.43834,131.97242,2014-09-21 13:59:56,-34.92546,138.22828,2014-09-22 06:54:04,325,ANL Whyalla,ANL
ADAB20141202,Adelaide,Great Australian Bight,Great Australian Bight,-35.45982,129.50372,2014-12-02 12:01:57,-34.93876,138.20761,2014-12-03 14:17:02,445,ANL Whyalla,ANL
ADAB20151027,Adelaide,Great Australian Bight,Great Australian Bight,-37.23624,134.27372,2015-10-27 22:10:01,-36.20056,138.22442,2015-10-28 18:40:31,210,RV Investigator,CSIRO; MNF - IN2015_C01
ADAB20151115,Adelaide,Great Australian Bight,Great Australian Bight,-35.50471,126.90147,2015-11-15 22:08:54,-35.3996,135.36736,2015-11-16 22:47:46,420,ANL Waratah,ANL
ADAB20161102,Adelaide,Great Australian Bight,Great Australian Bight,-37.61856,126.54042,2016-11-02 04:20:19,-36.82149,133.14456,2016-11-03 02:21:55,325,Salome,Wallenius Wilhelmsen
ADAB20161202,Adelaide,Great Australian Bight,Great Australian Bight,-37.99486,127.6524,2016-12-02 05:18:14,-36.80923,136.31435,2016-12-03 04:21:29,425,Tonsberg,Wallenius Wilhelmsen
ADAB20170307,Adelaide,Great Australian Bight,Great Australian Bight,-37.87859,126.10979,2017-03-07 06:57:51,-36.65575,135.38437,2017-03-08 06:28:56,455,Salome,Wallenius Wilhelmsen
ADAB20170402,Adelaide,Great Australian Bight,Great Australian Bight,-38.31349,133.3494,2017-04-02 06:20:45,-37.59922,138.21937,2017-04-02 20:03:21,240,Tonsberg,Wallenius Wilhelmsen
ADAB20170807,Adelaide,Great Australian Bight,Great Australian Bight,-37.99743,128.60947,2017-08-07 07:04:17,-37.05659,136.69755,2017-08-08 07:12:15,395,Tonsberg,Wallenius Wilhelmsen
ADAB20190428,Adelaide,Great Australian Bight,Great Australian Bight,-38.07671,128.10509,2019-04-28 01:45:20,-36.98968,136.3776,2019-04-28 23:59:09,405,Tonsberg,Wallenius Wilhelmsen
ADME20190806,Adelaide,Melbourne,Great Australian Bight,-38.96355,135.02705,2019-08-07 01:39:03,-37.92904,143.19859,2019-08-26 21:32:54,395,Tonsberg,Wallenius Wilhelmsen
ANHO20071125,Antarctica,Hobart,Southern Ocean,-60.0961,89.6107,2007-11-25 07:53:00,-47.9177,136.5035,2007-11-30 21:07:00,1805.59,Aurora Australis,SOCPR
